date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:56	4207/4207	---M-Z	200	added ('OK')	text/html	etag:%221926459184%22	https://www.allegro.cc/manual/5/index.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/index.html	(from )
18:08:59	125/125	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Jun%202022%2021:08:58%20GMT	https://www.allegro.cc/robots.txt		(from )
18:09:00	2647/2647	---M-Z	200	added ('OK')	text/css	etag:%221826595706%22	https://www.allegro.cc/manual/5/manual.css	/home/joao/websites/Allegro/www.allegro.cc/manual/5/manual.css	(from https://www.allegro.cc/manual/5/index.html)
18:09:01	3696/3696	---M-Z	200	added ('OK')	text/html	etag:%223824299315%22	https://www.allegro.cc/manual/5/config.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/config.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:02	5791/5791	---M-Z	200	added ('OK')	text/html	etag:%223891603760%22	https://www.allegro.cc/manual/5/display.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/display.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:03	4340/4340	---M-Z	200	added ('OK')	text/html	etag:%221985227568%22	https://www.allegro.cc/manual/5/events.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/events.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:03	5538/5538	---M-Z	200	added ('OK')	text/html	etag:%224005307696%22	https://www.allegro.cc/manual/5/file.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/file.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:04	5090/5090	---M-Z	200	added ('OK')	text/html	etag:%224227081008%22	https://www.allegro.cc/manual/5/fshook.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/fshook.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:06	4339/4339	---M-Z	200	added ('OK')	text/html	etag:%221992107824%22	https://www.allegro.cc/manual/5/fixed.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/fixed.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:07	8423/8423	---M-Z	200	added ('OK')	text/html	etag:%221788297014%22	https://www.allegro.cc/manual/5/graphics.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/graphics.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:08	4078/4078	---M-Z	200	added ('OK')	text/html	etag:%222050779440%22	https://www.allegro.cc/manual/5/joystick.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/joystick.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:09	5899/5899	---M-Z	200	added ('OK')	text/html	etag:%223690818352%22	https://www.allegro.cc/manual/5/keyboard.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/keyboard.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:10	3122/3122	---M-Z	200	added ('OK')	text/html	etag:%224271268147%22	https://www.allegro.cc/manual/5/memory.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/memory.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:11	4178/4178	---M-Z	200	added ('OK')	text/html	etag:%222117893424%22	https://www.allegro.cc/manual/5/mouse.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/mouse.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:11	4582/4582	---M-Z	200	added ('OK')	text/html	etag:%223184963379%22	https://www.allegro.cc/manual/5/path.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/path.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:13	2778/2778	---M-Z	200	added ('OK')	text/html	etag:%223023873840%22	https://www.allegro.cc/manual/5/state.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/state.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:14	3170/3170	---M-Z	200	added ('OK')	text/html	etag:%22741646640%22	https://www.allegro.cc/manual/5/system.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/system.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:16	4271/4271	---M-Z	200	added ('OK')	text/html	etag:%222687869747%22	https://www.allegro.cc/manual/5/threads.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/threads.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:18	2805/2805	---M-Z	200	added ('OK')	text/html	etag:%222295446832%22	https://www.allegro.cc/manual/5/time.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/time.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:18	3536/3536	---M-Z	200	added ('OK')	text/html	etag:%221018347312%22	https://www.allegro.cc/manual/5/timer.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/timer.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:19	8144/8144	---M-Z	200	added ('OK')	text/html	etag:%222890984757%22	https://www.allegro.cc/manual/5/transformations.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/transformations.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:21	17259/17259	---M-Z	200	added ('OK')	text/html	etag:%222886682618%22	https://www.allegro.cc/manual/5/utf8.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/utf8.html	(from https://www.allegro.cc/manual/5/index.html)
18:09:22	2546/2546	---M-Z	200	added ('OK')	text/html	etag:%221850893107%22	https://www.allegro.cc/manual/5/misc.html	/home/joao/websites/Allegro/www.allegro.cc/manual/5/misc.html	(from https://www.allegro.cc/manual/5/index.html)
